[main] D i.g.b.wdm.cache.ResolutionCache - ( Resolution chrome=99 in cache (valid until 15:30:58 07/04/2022 CEST)
[main] D i.g.b.wdm.cache.ResolutionCache - ( Resolution chrome99=99.0.4844.51 in cache (valid until 09:13:51 08/04/2022 CEST)
[main] I i.g.bonigarcia.wdm.WebDriverManager - ( Using chromedriver 99.0.4844.51 (resolved driver for Chrome 99)
[main] D i.g.bonigarcia.wdm.WebDriverManager - ( Driver chromedriver 99.0.4844.51 found in cache
[main] I i.g.bonigarcia.wdm.WebDriverManager - ( Exporting webdriver.chrome.driver as C:\Users\kaczmaa5\.cache\selenium\chromedriver\win32\99.0.4844.51\chromedriver.exe
[main] I BaseData.BaseTest.class - ( ***** Driver is initiated properly *****
[main] I BaseData.BaseTest.class - ( ***** Still before test *****
[main] I BaseData.BaseTest.class - ( ***** Window is correctly maximized *****
[main] I DatePickerTabTest.class - ( ***** Tab 'Widgets' is opened *****
[main] I DatePickerTabTest.class - ( ***** Tab 'DatePicker' is opened *****
[main] I DatePickerTabSteps.class - ( 'Next' button is chosen
[main] I DatePickerTabSteps.class - ( 'Next' button is chosen
[main] I DatePickerTabSteps.class - ( 'Next' button is chosen
[main] I DatePickerTabSteps.class - ( 'Next' button is chosen
[main] I DatePickerTabSteps.class - ( 'Next' button is chosen
[main] I DatePickerTabSteps.class - ( 'Next' button is chosen
[main] I DatePickerTabSteps.class - ( 'Next' button is chosen
[main] I DatePickerTabSteps.class - ( 'Next' button is chosen
[main] I DatePickerTabSteps.class - ( 'Next' button is chosen
[main] I DatePickerTabSteps.class - ( 'Next' button is chosen
[main] I DatePickerTabSteps.class - ( 'Next' button is chosen
[main] I DatePickerTabSteps.class - ( 'Next' button is chosen
[main] I DatePickerTabSteps.class - ( 'Next' button is chosen
[main] I DatePickerTabSteps.class - ( 'Next' button is chosen
[main] I DatePickerTabSteps.class - ( 'Next' button is chosen
[main] I DatePickerTabSteps.class - ( 'Next' button is chosen
[main] I DatePickerTabSteps.class - ( 'Next' button is chosen
[main] I DatePickerTabSteps.class - ( 'Next' button is chosen
[main] I DatePickerTabSteps.class - ( 'Next' button is chosen
[main] I DatePickerTabSteps.class - ( 'Next' button is chosen
[main] I DatePickerTabSteps.class - ( 'Next' button is chosen
[main] I DatePickerTabSteps.class - ( 'Next' button is chosen
[main] I DatePickerTabSteps.class - ( 'Next' button is chosen
[main] I DatePickerTabSteps.class - ( 'Next' button is chosen
[main] I DatePickerTabSteps.class - ( 'Next' button is chosen
[main] I DatePickerTabSteps.class - ( 'Next' button is chosen
[main] I DatePickerTabSteps.class - ( 'Next' button is chosen
[main] I DatePickerTabSteps.class - ( 'Next' button is chosen
[main] I DatePickerTabSteps.class - ( 'Next' button is chosen
[main] I DatePickerTabSteps.class - ( 'Next' button is chosen
[main] I DatePickerTabSteps.class - ( 'Next' button is chosen
[main] I DatePickerTabSteps.class - ( 'Next' button is chosen
[main] I DatePickerTabSteps.class - ( 'Next' button is chosen
[main] I DatePickerTabSteps.class - ( 'Next' button is chosen
[main] I DatePickerTabSteps.class - ( 'Next' button is chosen
[main] I DatePickerTabSteps.class - ( 'Next' button is chosen
[main] I DatePickerTabSteps.class - ( 'Next' button is chosen
[main] I DatePickerTabSteps.class - ( 'Next' button is chosen
[main] I DatePickerTabSteps.class - ( 'Next' button is chosen
[main] I DatePickerTabSteps.class - ( 'Next' button is chosen
[main] I DatePickerTabSteps.class - ( 'Next' button is chosen
[main] I DatePickerTabSteps.class - ( 'Next' button is chosen
[main] I DatePickerTabSteps.class - ( 'Next' button is chosen
[main] I DatePickerTabSteps.class - ( 'Next' button is chosen
[main] I DatePickerTabSteps.class - ( 'Next' button is chosen
[main] I DatePickerTabSteps.class - ( 'Next' button is chosen
[main] I DatePickerTabSteps.class - ( 'Next' button is chosen
[main] I DatePickerTabSteps.class - ( 'Next' button is chosen
[main] I DatePickerTabSteps.class - ( 'Next' button is chosen
[main] I DatePickerTabSteps.class - ( 'Next' button is chosen
[main] I DatePickerTabSteps.class - ( 'Next' button is chosen
[main] I DatePickerTabSteps.class - ( 'Next' button is chosen
[main] I DatePickerTabSteps.class - ( 'Next' button is chosen
[main] I BaseData.BaseTest.class - ( ***** Window is correctly closed *****
